workerId,zone,week,rainfallMm,temperatureC,aqi,activityScore,riskTier
0,Rourkela-Zone1,0,12.7,20.9,190.6,0.753,medium
0,Rourkela-Zone1,1,24.9,24.0,193.9,0.835,medium
0,Rourkela-Zone1,2,6.9,24.0,196.0,0.639,medium
0,Rourkela-Zone1,3,44.1,25.1,186.7,0.801,medium
0,Rourkela-Zone1,4,25.7,23.1,141.1,0.546,medium
0,Rourkela-Zone1,5,45.3,27.0,116.6,0.589,medium
0,Rourkela-Zone1,6,0.0,24.7,122.1,0.838,low
0,Rourkela-Zone1,7,13.6,28.2,101.6,0.693,low
0,Rourkela-Zone1,8,7.1,26.4,113.0,0.777,low
0,Rourkela-Zone1,9,42.5,29.2,118.1,0.559,medium
0,Rourkela-Zone1,10,4.4,32.2,114.0,0.579,medium
0,Rourkela-Zone1,11,21.1,29.6,108.3,0.695,medium
0,Rourkela-Zone1,12,12.7,32.3,114.6,0.713,low
0,Rourkela-Zone1,13,30.3,35.3,104.7,0.726,medium
0,Rourkela-Zone1,14,11.6,36.0,119.1,0.845,low
0,Rourkela-Zone1,15,0.0,34.6,119.1,0.784,low
0,Rourkela-Zone1,16,8.5,36.6,116.0,0.839,high
0,Rourkela-Zone1,17,2.9,37.9,125.0,0.684,low
0,Rourkela-Zone1,18,19.5,39.1,114.0,0.661,medium
0,Rourkela-Zone1,19,16.4,41.1,111.6,0.574,medium
0,Rourkela-Zone1,20,59.8,40.2,117.1,0.722,high
0,Rourkela-Zone1,21,36.3,41.2,110.7,0.792,medium
0,Rourkela-Zone1,22,21.3,42.3,109.7,0.639,medium
0,Rourkela-Zone1,23,88.1,42.9,109.4,0.737,high
0,Rourkela-Zone1,24,118.1,43.9,107.7,0.765,high
0,Rourkela-Zone1,25,149.8,44.2,108.3,0.772,low
0,Rourkela-Zone1,26,149.3,42.9,99.3,0.646,high
0,Rourkela-Zone1,27,175.4,44.7,100.0,0.597,high
0,Rourkela-Zone1,28,191.7,40.9,96.9,0.72,high
0,Rourkela-Zone1,29,211.7,41.6,103.4,0.553,high
0,Rourkela-Zone1,30,223.5,41.2,94.6,0.759,high
0,Rourkela-Zone1,31,270.0,41.9,88.4,0.661,high
0,Rourkela-Zone1,32,262.3,41.3,93.0,0.717,high
0,Rourkela-Zone1,33,289.2,40.8,84.9,0.467,high
0,Rourkela-Zone1,34,271.3,38.8,90.9,0.862,high
0,Rourkela-Zone1,35,261.5,36.1,95.7,0.823,high
0,Rourkela-Zone1,36,265.7,34.2,99.6,0.678,high
0,Rourkela-Zone1,37,245.6,34.5,96.6,0.669,high
0,Rourkela-Zone1,38,252.5,34.9,100.7,0.785,high
0,Rourkela-Zone1,39,202.9,31.1,174.0,0.726,high
0,Rourkela-Zone1,40,262.6,29.5,162.4,0.805,high
0,Rourkela-Zone1,41,179.5,28.6,172.4,0.554,high
0,Rourkela-Zone1,42,143.8,27.3,183.1,0.663,high
0,Rourkela-Zone1,43,129.1,29.7,188.0,0.807,high
0,Rourkela-Zone1,44,104.7,25.8,177.6,0.634,high
0,Rourkela-Zone1,45,34.6,25.1,195.7,0.749,medium
0,Rourkela-Zone1,46,27.1,26.8,203.0,0.703,medium
0,Rourkela-Zone1,47,19.4,24.2,203.7,0.707,medium
0,Rourkela-Zone1,48,4.4,22.9,196.4,0.78,medium
0,Rourkela-Zone1,49,16.7,23.5,195.4,0.728,medium
0,Rourkela-Zone1,50,18.1,22.1,190.4,0.719,medium
0,Rourkela-Zone1,51,19.9,26.5,201.4,0.691,medium
0,Rourkela-Zone1,52,0.0,16.7,201.0,0.581,medium
1,Puri-Zone1,0,125.9,22.3,186.0,0.813,high
1,Puri-Zone1,1,116.2,22.7,185.0,0.85,high
1,Puri-Zone1,2,77.3,23.1,189.1,0.923,high
1,Puri-Zone1,3,144.2,24.7,182.0,0.715,high
1,Puri-Zone1,4,104.0,23.6,137.7,0.871,high
1,Puri-Zone1,5,75.6,24.8,105.9,0.938,high
1,Puri-Zone1,6,77.2,25.1,109.7,0.92,high
1,Puri-Zone1,7,81.9,25.9,100.3,0.726,high
1,Puri-Zone1,8,105.0,27.3,110.9,0.735,high
1,Puri-Zone1,9,117.3,26.6,105.0,0.873,high
1,Puri-Zone1,10,105.1,29.5,106.1,0.853,high
1,Puri-Zone1,11,92.2,31.1,109.7,0.824,high
1,Puri-Zone1,12,104.3,33.4,109.0,0.568,high
1,Puri-Zone1,13,69.9,32.5,108.0,0.827,high
1,Puri-Zone1,14,132.9,34.1,110.4,0.775,high
