zone,day,rainfallMm,temperatureC,aqi
Bhubaneswar-Zone1,0,3.8,20.9,199
Bhubaneswar-Zone1,1,24.1,19.8,171
Bhubaneswar-Zone1,2,10.5,19.0,194
Bhubaneswar-Zone1,3,7.3,20.4,182
Bhubaneswar-Zone1,4,1.4,21.8,209
Bhubaneswar-Zone1,5,1.4,19.1,197
Bhubaneswar-Zone1,6,0.5,18.8,202
Bhubaneswar-Zone1,7,16.1,19.4,226
Bhubaneswar-Zone1,8,7.4,22.0,178
Bhubaneswar-Zone1,9,9.9,23.1,213
Bhubaneswar-Zone1,10,0.2,20.9,160
Bhubaneswar-Zone1,11,28.0,21.4,146
Bhubaneswar-Zone1,12,14.3,19.0,170
Bhubaneswar-Zone1,13,1.9,22.1,181
Bhubaneswar-Zone1,14,1.6,21.4,202
Bhubaneswar-Zone1,15,1.6,19.0,203
Bhubaneswar-Zone1,16,2.9,16.9,194
Bhubaneswar-Zone1,17,6.0,18.0,193
Bhubaneswar-Zone1,18,4.5,19.2,204
Bhubaneswar-Zone1,19,2.8,22.9,210
Bhubaneswar-Zone1,20,7.6,23.8,174
Bhubaneswar-Zone1,21,1.2,19.8,194
Bhubaneswar-Zone1,22,2.8,20.0,197
Bhubaneswar-Zone1,23,3.7,21.4,204
Bhubaneswar-Zone1,24,4.9,21.0,185
Bhubaneswar-Zone1,25,12.3,22.9,189
Bhubaneswar-Zone1,26,1.8,20.0,199
Bhubaneswar-Zone1,27,5.8,23.1,185
Bhubaneswar-Zone1,28,7.2,20.8,183
Bhubaneswar-Zone1,29,0.4,23.0,201
Bhubaneswar-Zone1,30,7.5,20.9,112
Bhubaneswar-Zone1,31,1.5,20.3,126
Bhubaneswar-Zone1,32,0.5,25.4,104
Bhubaneswar-Zone1,33,23.8,23.8,96
Bhubaneswar-Zone1,34,27.0,18.2,95
Bhubaneswar-Zone1,35,13.2,21.0,122
Bhubaneswar-Zone1,36,2.9,24.4,104
Bhubaneswar-Zone1,37,0.8,19.7,123
Bhubaneswar-Zone1,38,9.2,23.7,116
Bhubaneswar-Zone1,39,4.6,23.6,141
Bhubaneswar-Zone1,40,1.0,21.0,104
Bhubaneswar-Zone1,41,5.5,22.5,106
Bhubaneswar-Zone1,42,0.3,18.5,106
Bhubaneswar-Zone1,43,19.2,26.3,80
Bhubaneswar-Zone1,44,2.4,22.3,145
Bhubaneswar-Zone1,45,8.7,24.6,94
Bhubaneswar-Zone1,46,3.0,24.4,105
Bhubaneswar-Zone1,47,5.9,26.0,135
Bhubaneswar-Zone1,48,6.3,22.5,89
Bhubaneswar-Zone1,49,1.6,23.9,130
Bhubaneswar-Zone1,50,27.9,24.8,76
Bhubaneswar-Zone1,51,11.9,25.5,129
Bhubaneswar-Zone1,52,22.4,26.2,69
Bhubaneswar-Zone1,53,18.0,23.1,79
Bhubaneswar-Zone1,54,7.3,22.9,106
Bhubaneswar-Zone1,55,20.4,27.1,118
Bhubaneswar-Zone1,56,0.7,20.4,119
Bhubaneswar-Zone1,57,1.7,27.8,114
Bhubaneswar-Zone1,58,0.4,24.2,140
Bhubaneswar-Zone1,59,3.1,24.9,150
Bhubaneswar-Zone1,60,3.9,23.7,127
Bhubaneswar-Zone1,61,2.5,25.1,109
Bhubaneswar-Zone1,62,14.1,27.9,102
Bhubaneswar-Zone1,63,3.5,27.1,98
Bhubaneswar-Zone1,64,2.6,26.7,119
Bhubaneswar-Zone1,65,6.3,26.0,91
Bhubaneswar-Zone1,66,1.2,23.1,127
Bhubaneswar-Zone1,67,13.0,24.5,140
Bhubaneswar-Zone1,68,0.6,25.6,130
Bhubaneswar-Zone1,69,34.7,27.4,85
Bhubaneswar-Zone1,70,11.8,26.8,118
Bhubaneswar-Zone1,71,1.8,28.8,143
Bhubaneswar-Zone1,72,0.0,27.9,144
Bhubaneswar-Zone1,73,13.5,27.2,94
Bhubaneswar-Zone1,74,9.8,31.8,120
Bhubaneswar-Zone1,75,10.4,28.3,109
Bhubaneswar-Zone1,76,11.8,26.7,123
Bhubaneswar-Zone1,77,0.6,31.5,125
Bhubaneswar-Zone1,78,3.6,30.3,82
Bhubaneswar-Zone1,79,1.0,31.7,114
Bhubaneswar-Zone1,80,15.9,28.1,110
Bhubaneswar-Zone1,81,7.8,30.4,92
Bhubaneswar-Zone1,82,3.2,25.7,126
Bhubaneswar-Zone1,83,0.5,30.4,97
Bhubaneswar-Zone1,84,3.0,28.7,106
Bhubaneswar-Zone1,85,3.1,26.4,138
Bhubaneswar-Zone1,86,10.5,31.4,98
Bhubaneswar-Zone1,87,8.1,25.9,122
Bhubaneswar-Zone1,88,17.5,25.8,80
Bhubaneswar-Zone1,89,5.1,30.6,147
Bhubaneswar-Zone1,90,1.0,31.1,115
Bhubaneswar-Zone1,91,10.0,32.1,113
Bhubaneswar-Zone1,92,11.4,31.8,114
Bhubaneswar-Zone1,93,6.6,33.5,124
Bhubaneswar-Zone1,94,11.8,32.1,88
Bhubaneswar-Zone1,95,5.4,30.6,116
Bhubaneswar-Zone1,96,5.9,30.9,105
Bhubaneswar-Zone1,97,4.5,30.6,91
Bhubaneswar-Zone1,98,0.2,32.0,135
Bhubaneswar-Zone1,99,0.9,29.3,114
Bhubaneswar-Zone1,100,0.3,32.4,123
Bhubaneswar-Zone1,101,8.1,31.7,116
Bhubaneswar-Zone1,102,3.0,32.6,113
Bhubaneswar-Zone1,103,5.7,32.8,145
Bhubaneswar-Zone1,104,19.1,27.5,104
Bhubaneswar-Zone1,105,2.3,30.8,95
Bhubaneswar-Zone1,106,4.2,32.5,111
Bhubaneswar-Zone1,107,11.3,32.8,118
Bhubaneswar-Zone1,108,2.1,33.6,126
Bhubaneswar-Zone1,109,0.6,33.8,103
Bhubaneswar-Zone1,110,2.7,36.4,132
Bhubaneswar-Zone1,111,1.4,34.2,92
Bhubaneswar-Zone1,112,21.2,33.1,120
Bhubaneswar-Zone1,113,13.2,30.7,90
Bhubaneswar-Zone1,114,8.0,31.3,110
Bhubaneswar-Zone1,115,16.4,35.2,123
Bhubaneswar-Zone1,116,13.0,36.4,111
Bhubaneswar-Zone1,117,1.7,37.6,131
Bhubaneswar-Zone1,118,17.8,33.0,115
Bhubaneswar-Zone1,119,6.2,34.2,134
Bhubaneswar-Zone1,120,13.2,35.4,125
Bhubaneswar-Zone1,121,18.1,39.2,99
Bhubaneswar-Zone1,122,3.1,35.5,127
Bhubaneswar-Zone1,123,0.9,38.5,96
Bhubaneswar-Zone1,124,2.1,35.9,117
Bhubaneswar-Zone1,125,4.5,38.0,129
Bhubaneswar-Zone1,126,13.6,37.9,111
Bhubaneswar-Zone1,127,15.8,36.3,114
Bhubaneswar-Zone1,128,0.1,34.0,117
Bhubaneswar-Zone1,129,5.7,35.7,132
Bhubaneswar-Zone1,130,4.3,39.3,115
Bhubaneswar-Zone1,131,2.0,38.2,111
Bhubaneswar-Zone1,132,1.0,35.7,132
Bhubaneswar-Zone1,133,3.3,36.1,96
Bhubaneswar-Zone1,134,22.9,33.4,109
Bhubaneswar-Zone1,135,3.1,39.9,102
Bhubaneswar-Zone1,136,5.9,38.9,134
Bhubaneswar-Zone1,137,9.7,37.0,108
Bhubaneswar-Zone1,138,3.6,37.8,119
Bhubaneswar-Zone1,139,28.5,33.1,103
Bhubaneswar-Zone1,140,26.3,36.6,70
Bhubaneswar-Zone1,141,2.3,40.4,108
Bhubaneswar-Zone1,142,5.5,39.8,131
Bhubaneswar-Zone1,143,2.9,38.6,131
Bhubaneswar-Zone1,144,2.7,38.0,122
Bhubaneswar-Zone1,145,0.3,39.7,100
Bhubaneswar-Zone1,146,7.5,37.7,123
Bhubaneswar-Zone1,147,5.6,35.0,126
Bhubaneswar-Zone1,148,0.4,38.4,120
Bhubaneswar-Zone1,149,2.6,39.3,136
Bhubaneswar-Zone1,150,19.1,40.8,94
Bhubaneswar-Zone1,151,2.9,35.8,110
Bhubaneswar-Zone1,152,2.6,38.5,81
Bhubaneswar-Zone1,153,7.4,38.7,128
Bhubaneswar-Zone1,154,36.7,36.7,95
Bhubaneswar-Zone1,155,5.7,40.0,90
Bhubaneswar-Zone1,156,13.0,40.6,83
Bhubaneswar-Zone1,157,16.3,38.6,94
Bhubaneswar-Zone1,158,7.7,43.3,126
Bhubaneswar-Zone1,159,16.6,38.6,102
Bhubaneswar-Zone1,160,10.5,38.4,100
Bhubaneswar-Zone1,161,15.5,38.4,92
Bhubaneswar-Zone1,162,16.2,37.8,91
Bhubaneswar-Zone1,163,15.0,38.4,79
Bhubaneswar-Zone1,164,10.3,36.7,94
Bhubaneswar-Zone1,165,24.6,39.2,84
Bhubaneswar-Zone1,166,14.0,39.8,119
Bhubaneswar-Zone1,167,13.2,35.1,107
Bhubaneswar-Zone1,168,12.5,39.5,98
Bhubaneswar-Zone1,169,20.0,39.9,139
Bhubaneswar-Zone1,170,22.6,40.8,92
Bhubaneswar-Zone1,171,14.3,42.3,126
Bhubaneswar-Zone1,172,20.5,41.6,128
Bhubaneswar-Zone1,173,17.5,38.7,82
Bhubaneswar-Zone1,174,24.3,38.4,102
Bhubaneswar-Zone1,175,18.2,41.1,98
Bhubaneswar-Zone1,176,26.7,38.9,90
Bhubaneswar-Zone1,177,21.8,37.5,111
Bhubaneswar-Zone1,178,40.6,44.7,78
Bhubaneswar-Zone1,179,20.3,39.4,96
Bhubaneswar-Zone1,180,23.1,38.7,99
Bhubaneswar-Zone1,181,21.3,35.6,97
Bhubaneswar-Zone1,182,41.6,41.7,69
Bhubaneswar-Zone1,183,38.3,38.0,101
Bhubaneswar-Zone1,184,24.5,40.0,116
Bhubaneswar-Zone1,185,31.3,41.9,100
Bhubaneswar-Zone1,186,36.8,38.0,85
Bhubaneswar-Zone1,187,30.3,40.1,85
Bhubaneswar-Zone1,188,30.4,43.0,85
Bhubaneswar-Zone1,189,27.1,35.0,134
Bhubaneswar-Zone1,190,26.2,38.3,113
Bhubaneswar-Zone1,191,44.1,38.1,72
Bhubaneswar-Zone1,192,44.9,39.5,87
Bhubaneswar-Zone1,193,35.0,39.7,87
Bhubaneswar-Zone1,194,30.8,37.6,104
Bhubaneswar-Zone1,195,31.4,38.4,103
Bhubaneswar-Zone1,196,38.8,38.1,105
Bhubaneswar-Zone1,197,47.1,38.9,70
Bhubaneswar-Zone1,198,46.9,40.0,84
Bhubaneswar-Zone1,199,42.0,41.4,60
Bhubaneswar-Zone1,200,38.6,41.6,70
Bhubaneswar-Zone1,201,31.5,40.7,108
Bhubaneswar-Zone1,202,32.6,37.6,80
Bhubaneswar-Zone1,203,49.9,39.3,67
Bhubaneswar-Zone1,204,39.5,44.0,88
Bhubaneswar-Zone1,205,32.5,41.2,104
Bhubaneswar-Zone1,206,33.7,38.2,77
Bhubaneswar-Zone1,207,42.0,42.2,34
Bhubaneswar-Zone1,208,33.7,38.2,80
Bhubaneswar-Zone1,209,35.4,37.5,110
Bhubaneswar-Zone1,210,40.7,41.6,93
Bhubaneswar-Zone1,211,44.1,36.1,105
Bhubaneswar-Zone1,212,43.5,34.8,68
Bhubaneswar-Zone1,213,37.4,40.4,65
Bhubaneswar-Zone1,214,45.6,38.5,90
Bhubaneswar-Zone1,215,38.2,38.6,93
Bhubaneswar-Zone1,216,39.4,37.5,93
Bhubaneswar-Zone1,217,47.5,37.7,96
Bhubaneswar-Zone1,218,45.2,37.1,90
Bhubaneswar-Zone1,219,52.2,36.7,84
Bhubaneswar-Zone1,220,45.9,37.1,94
Bhubaneswar-Zone1,221,44.3,36.9,92
Bhubaneswar-Zone1,222,38.6,36.0,102
Bhubaneswar-Zone1,223,41.7,36.4,102
Bhubaneswar-Zone1,224,40.7,32.4,110
Bhubaneswar-Zone1,225,40.7,38.7,78
Bhubaneswar-Zone1,226,67.5,38.0,73
Bhubaneswar-Zone1,227,42.8,36.9,80
Bhubaneswar-Zone1,228,56.8,37.4,62
Bhubaneswar-Zone1,229,47.1,37.4,72
Bhubaneswar-Zone1,230,51.9,35.2,86
Bhubaneswar-Zone1,231,45.0,35.5,90
Bhubaneswar-Zone1,232,46.4,37.5,89
Bhubaneswar-Zone1,233,45.0,36.7,81
Bhubaneswar-Zone1,234,41.4,40.2,87
Bhubaneswar-Zone1,235,50.0,39.3,92
Bhubaneswar-Zone1,236,42.5,37.7,64
Bhubaneswar-Zone1,237,40.1,34.2,88
Bhubaneswar-Zone1,238,48.2,34.5,83
Bhubaneswar-Zone1,239,41.5,33.4,98
Bhubaneswar-Zone1,240,62.6,35.9,50
Bhubaneswar-Zone1,241,64.6,29.7,91
Bhubaneswar-Zone1,242,59.7,34.1,75
Bhubaneswar-Zone1,243,43.7,34.2,89
Bhubaneswar-Zone1,244,40.1,31.7,82
Bhubaneswar-Zone1,245,61.0,36.2,79
Bhubaneswar-Zone1,246,44.3,32.1,85
Bhubaneswar-Zone1,247,67.0,34.8,85
Bhubaneswar-Zone1,248,66.2,39.7,45
Bhubaneswar-Zone1,249,55.0,30.7,79
Bhubaneswar-Zone1,250,42.3,33.5,92
Bhubaneswar-Zone1,251,43.3,32.8,83
Bhubaneswar-Zone1,252,54.6,32.3,70
Bhubaneswar-Zone1,253,42.2,34.8,81
Bhubaneswar-Zone1,254,40.5,35.3,90
Bhubaneswar-Zone1,255,45.4,34.5,57
Bhubaneswar-Zone1,256,60.7,31.4,86
Bhubaneswar-Zone1,257,48.1,37.5,74
Bhubaneswar-Zone1,258,45.1,28.9,86
Bhubaneswar-Zone1,259,39.0,30.2,94
Bhubaneswar-Zone1,260,45.6,32.5,76
Bhubaneswar-Zone1,261,74.6,32.1,58
Bhubaneswar-Zone1,262,38.7,32.8,59
Bhubaneswar-Zone1,263,43.1,34.8,97
Bhubaneswar-Zone1,264,53.8,31.2,93
Bhubaneswar-Zone1,265,47.5,31.5,56
Bhubaneswar-Zone1,266,46.0,29.9,77
